XML,portal,orientation,veracity,url
0320.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/20/politics/barack-obama-un-diplomacy/index.html?sr=fbpol092116barack-obama-un-diplomacy1033AMVODtopLink&amp;linkId=29018057
0321.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/2016-election-fundraising/index.html?sr=fbpol0921162016-election-fundraising1102AMVODtopLink&amp;linkId=29026695
0322.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/20/politics/donald-trump-junior-2016-election/index.html?sr=fbpol092116donald-trump-junior-2016-election1132AMVODtopLink&amp;linkId=29026905
0323.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/michelle-obama-melania-trump-plagiarism-joke/index.html?sr=fbpol092116michelle-obama-melania-trump-plagiarism-joke1202PMVODtopLink&amp;linkId=29027601
0324.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/georgia-senate-democrats-election/index.html?sr=fbpol092116georgia-senate-democrats-election0102PMVODtopLink&amp;linkId=29028764
0325.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/scientists-open-letter-trump-climate-change/index.html?sr=fbpol092116scientists-open-letter-trump-climate-change0217PMVODtopLink&amp;linkId=29035138
0326.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/obama-netanyahu-us-israel-mideast-peace/index.html?sr=fbpol092116obama-netanyahu-us-israel-mideast-peace0235PMVODtopLink&amp;linkId=29036314
0327.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/bono-donald-trump/index.html?sr=fbpol092116bono-donald-trump0247PMVODtopLink&amp;linkId=29035270
0328.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/mark-kirk-iraq-veteran-website/index.html?sr=fbpol092116mark-kirk-iraq-veteran-website0317PMVODtopLink&amp;linkId=29035451
0329.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/20/politics/terence-crutcher-tulsa-shooting-hillary-clinton/index.html?sr=fbpol092116terence-crutcher-tulsa-shooting-hillary-clinton0347PMVODtopLink&amp;linkId=29036141
0330.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/don-king-n-word-donald-trump/index.html?sr=fbpol092116don-king-n-word-donald-trump0415PMVODtopLink&amp;linkId=29038428
0331.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/john-lewis-voting-election-observers/index.html?sr=fbpol092116john-lewis-voting-election-observers0445PMVODtopLink&amp;linkId=29039803
0332.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/pew-poll-hillary-clinton-donald-trump/index.html?sr=fbpol092116pew-poll-hillary-clinton-donald-trump0515PMVODtopLink&amp;linkId=29040626
0333.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/make-america-great-again-sweatbands-donald-trump/index.html?sr=fbpol092116make-america-great-again-sweatbands-donald-trump0532PMVODtopLink&amp;linkId=29045031
0334.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/clinton-foundation-layoffs/index.html?sr=fbpol092116clinton-foundation-layoffs0544PMVODtopLink&amp;linkId=29041580
0335.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/russia-syria-kerry-un-security-council-meeting/index.html?sr=fbpol092116russia-syria-kerry-un-security-council-meeting0615PMVODtopLink&amp;linkId=29042692
0336.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/trump-police-shooting-response/index.html?sr=fbpol092116trump-police-shooting-response0645PMVODtopLink&amp;linkId=29043315
0337.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/obama-netanyahu-us-israel-mideast-peace/index.html?sr=fbpol092116obama-netanyahu-us-israel-mideast-peace0658PMStoryLink&amp;linkId=29048825
0338.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/chris-coons-new-day-interview-donald-trump-ukraine/index.html?sr=fbpol092116chris-coons-new-day-interview-donald-trump-ukraine0715PMVODtopLink&amp;linkId=29043602
0339.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/donald-trump-gop-disunity-congress-election-2016/index.html?sr=fbpol092116donald-trump-gop-disunity-congress-election-20160731PMStoryLink&amp;linkId=29050215
0340.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/harry-reid-donald-trump-tax-returns-mitt-romney/index.html?sr=fbpol092116harry-reid-donald-trump-tax-returns-mitt-romney0747PMVODtopLink&amp;linkId=29045389
0341.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/monmouth-poll-new-hampshire-hillary-clinton-leads-donald-trump/index.html?sr=fbpol092116monmouth-poll-new-hampshire-hillary-clinton-leads-donald-trum0817PMVODtopLink&amp;linkId=29047106
0342.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/chris-christie-hillary-clinton-police-shootings/index.html?sr=fbpol092116chris-christie-hillary-clinton-police-shootings0834PMStoryLink&amp;linkId=29050717
0343.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/clinton-kaine-fundraising/index.html?sr=fbpol092116clinton-kaine-fundraising0855PMStoryLink&amp;linkId=29051317
0344.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/obama-congress-saudi-9-11-bill/index.html?sr=fbpol092116/obama-congress-saudi-9-11-bill0931PMVODtopLink&amp;linkId=29053943
0345.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/mustard-gas-us-troops/index.html?sr=fbpol092116mustard-gas-us-troops1001PMVODtopLink&amp;linkId=29054222
0346.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/hillary-clinton-police-shootings-terence-crutcher-keith-lamont-scott/index.html?sr=fbpol092116hillary-clinton-police-shootings-terence-crutcher-keith-lamont-scott1031PMVODtopLink&amp;linkId=29054642
0347.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/senate-arms-sale-saudi-arabia/index.html?sr=fbpol092116senate-arms-sale-saudi-arabia1101PMVODtopLink&amp;linkId=29054864
0348.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/hillary-clinton-economy-disabled/index.html?sr=fbpol092116hillary-clinton-economy-disabled1133PMVODtopLink&amp;linkId=29055307
0349.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/levin-irs-audit-trump-foundation/index.html?sr=fbpol092116levin-irs-audit-trump-foundation1146PMStoryLink&amp;linkId=29059055
0350.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/donald-trump-stop-and-frisk/index.html?sr=fbpol092216donald-trump-stop-and-frisk1201AMVODtopLink&amp;linkId=29056720
0351.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/don-king-politics-donald-trump/index.html?sr=fbpol092216don-king-politics-donald-trump1221AMStoryLink&amp;linkId=29059292
0352.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/police-shootings-politics-trump-clinton/index.html
0353.xml,cnn,mainstream,mostly true,http://money.cnn.com/2016/09/21/media/joss-whedon-robert-downey-jr-donald-trump-vote/index.html?sr=fbpol092216joss-whedon-robert-downey-jr-donald-trump-vote1231AMVODtopLink&amp;linkId=29057212
0354.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/nbc-wsj-poll-hillary-clinton-donald-trump-2016-election/index.html?sr=fbpol092216nbc-wsj-poll-hillary-clinton-donald-trump-2016-election0105AMVODtopLink&amp;linkId=29057375
0355.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/west-wing-hillary-clinton-2016-election/index.html?sr=fbpol092216west-wing-hillary-clinton-2016-election0131AMVODtopLink&amp;linkId=29057764
0356.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/mike-pence-donald-trump-debate/index.html?sr=fbpol092216mike-pence-donald-trump-debate0201AMVODtopLink&amp;linkId=29058024
0357.xml,cnn,mainstream,mostly true,http://money.cnn.com/2016/09/21/media/bernie-sanders-young-adult-nonfiction-book/index.html?sr=fbpol092216bernie-sanders-young-adult-nonfiction-book0233AMVODtopLink&amp;linkId=29058210
0358.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/trump-cruz-internet-domain-names/index.html?sr=fbpol092216trump-cruz-internet-domain-names0301AMStoryLink&amp;linkId=29058738
0359.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/chris-coons-new-day-interview-donald-trump-ukraine/index.html?sr=fbpol092216chris-coons-new-day-interview-donald-trump-ukraine0301AMStoryLink&amp;linkId=29062518
0360.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/19/politics/trump-supporters-working-class-white-kaiser-family-foundation-infographic/index.html?sr=fbpol092216trump-supporters-working-class-white-kaiser-family-foundation-infographic/0359AMStoryLink&amp;linkId=29061450
0361.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/michelle-obama-melania-trump-plagiarism-joke/index.html?sr=fbpol092216michelle-obama-melania-trump-plagiarism-joke0531AMVODtopLink&amp;linkId=29062914
0362.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/2016-election-fundraising/index.html?sr=fbpol0922162016-election-fundraising0656AMVODtopLink&amp;linkId=29062920
0363.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/scientists-open-letter-trump-climate-change/index.html?sr=fbpol092216scientists-open-letter-trump-climate-change0831AMVODtopLink&amp;linkId=29062946
0364.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/john-lewis-voting-election-observers/index.html?sr=fbpol092216john-lewis-voting-election-observers0958AMVODtopLink&amp;linkId=29062965
0365.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/pew-poll-hillary-clinton-donald-trump/index.html?sr=fbpol092216pew-poll-hillary-clinton-donald-trump1033AMVODtopLink&amp;linkId=29062985
0366.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/debate-hillary-clinton-advice/index.html?sr=fbpol092216debate-hillary-clinton-advice1117AMVODtopLink&amp;linkId=29071632
0367.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/west-wing-hillary-clinton-2016-election/index.html?sr=fbpol092216west-wing-hillary-clinton-2016-election1127AMVODtopPhoto&amp;linkId=29072605
0368.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/campaign-donations-us-elections/index.html?sr=fbpol092216campaign-donations-us-elections1202PMVODtopLink&amp;linkId=29071748
0369.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/what-time-where-watch-debate/index.html?sr=fbpol092216what-time-where-watch-debate1232PMVODtopLink&amp;linkId=29071858
0370.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/michael-steele-axelrod-axe-files/index.html?sr=fbpol092216michael-steele-axelrod-axe-files1245PMStoryLink&amp;linkId=29074354
0371.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/ohio-presidential-election-battleground/index.html?sr=fbpol092216ohio-presidential-election-battleground0100PMStoryLink&amp;linkId=29073998
0372.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/bill-de-blasio-trump-stop-and-frisk/index.html?sr=fbpol092216bill-de-blasio-trump-stop-and-frisk0128PMVODtopLink&amp;linkId=29074721
0373.xml,cnn,mainstream,mostly true,http://edition.cnn.com/interactive/2016/politics/global-headaches/?sr=fbpol092216global-headaches0132PMVODtopLink&amp;linkId=29073320
0374.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/boys-letter-to-obama-syria-refugee/index.html?sr=fbpol092216boys-letter-to-obama-syria-refugee0136PMStoryLink&amp;linkId=29075020
0375.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/road-to-270-electoral-college-map-4-september/index.html?sr=fbpol092216oad-to-270-electoral-college-map-4-september0136PMStoryLink&amp;linkId=29076203
0376.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/trump-charlotte-protests-stop-and-frisk/index.html?sr=fbpol092216trump-charlotte-protests-stop-and-frisk0155PMVODtopLink&amp;linkId=29075692
0377.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/jeff-sessions-criticizes-bush-family-clinton-support/index.html?sr=fbpol092216jeff-sessions-criticizes-bush-family-clinton-support0202PMStoryLink&amp;linkId=29073608
0378.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/hillary-clinton-between-two-ferns/index.html?sr=fbpol092216hillary-clinton-between-two-ferns0206PMStoryLink&amp;linkId=29076693
0379.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/west-wing-hillary-clinton-2016-election/index.html?sr=fbpol092216west-wing-hillary-clinton-2016-election0303PMVODtopPhoto&amp;linkId=29080306
0380.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/21/politics/pew-poll-hillary-clinton-donald-trump/index.html?sr=fbpol092216pew-poll-hillary-clinton-donald-trump0401PMVODtopLink&amp;linkId=29082557
0381.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/trump-caucus-debate/index.html
0382.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/ohio-trump-staffer-racism-obama/index.html
0383.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/kevin-johnson-sacramento-pie-assault/index.html
0384.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/speaker-paul-ryan-stop-and-frisk/index.html
0385.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/bryan-pagliano-hillary-clinton-emails-contempt/index.html
0386.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/reality-check-stop-and-frisk/index.html
0387.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/donald-trump-crime-agenda-charlotte/index.html
0388.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/david-fahrenthold-univision-enrique-acevedo-donald-trump-portrait/index.html
0389.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/ahmad-rahami-timeline-details/index.html
0390.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/first-on-cnn-us-attorney-investigating-weiner-sexting-allegations/index.html?sr=fbpol092216first-on-cnn-us-attorney-investigating-weiner-sexting-allegations/0900PMStoryLink&amp;linkId=29098910
0391.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/congressional-black-caucus-justice-department/index.html
0392.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/isis-refugrees-syria-state-department/index.html
0393.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/trump-black-america-really-really-really-wrong/index.html
0394.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/tim-scott-stop-and-frisk/index.html?sr=fbpol092216tim-scott-stop-and-frisk0941PMStoryLink&amp;linkId=29097760
0395.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/massachusetts-court-ruling-fleeing-police/index.html
0396.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/joe-manchin-epipen-hike/index.html?sr=fbpol092216joe-manchin-epipen-hike/1021PMStoryLink&amp;linkId=29099409
0397.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/general-dunford-mustard-attack-isis-iraq/index.html?sr=fbpol092216general-dunford-mustard-attack-isis-iraq/1031PMStoryLink&amp;linkId=29099549
0398.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/rouhani-iran-attacks-us-over-nuclear-deal/index.html
0399.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/donald-trump-jr-skittles-tweet/index.html?sr=fbpol092216donald-trump-jr-skittles-tweet1101PMStoryLink&amp;linkId=29100421
0400.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/government-funding-bill-shutdown/index.html?sr=fbpol092216government-funding-bill-shutdown1115PMVODtopLink&amp;linkId=29100802
0401.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/charlotte-mike-pence-police-shootings/index.html?sr=fbpol092216charlotte-mike-pence-police-shootings1133PMStoryLink&amp;linkId=29101472
0402.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/election-2016-russian-hacking-intelligence-democrats/index.html?sr=fbpol092216election-2016-russian-hacking-intelligence-democrats1130PMVODtopLink&amp;linkId=29101963
0403.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/donald-trump-ted-cruz/index.html?sr=fbpol092316donald-trump-ted-cruz-dishonest1201AMStoryLink&amp;linkId=29102533
0404.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/isis-victims-bodies-senators/index.html
0405.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/quinnipiac-university-poll-colorado-virginia-hillary-clinton-donald-trump/index.html?sr=fbpol092316quinnipiac-university-poll-colorado-virginia-hillary-clinton-donald-trump1229AMStoryLink&amp;linkId=29103033
0406.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/bill-clinton-hillary-clinton-new-house-chappaqua/index.html?sr=fbpol092316bill-clinton-hillary-clinton-new-house-chappaqua1255AMStoryLink&amp;linkId=29105471
0407.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/obama-police-violence-protests-charlotte-tulsa/index.html?sr=fbpol092316obama-police-violence-protests-charlotte-tulsa0131AMStoryLink&amp;linkId=29104158
0408.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/obama-syria-civil-war-haunts/index.html
0409.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/department-of-homeland-security-citizenship-2016-election/index.html?sr=fbpol092316department-of-homeland-security-citizenship-2016-election0214AMStoryLink&amp;linkId=29107008
0410.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/robert-pittenger-north-carolina-charlotte-protests/index.html?sr=fbpol092316robert-pittenger-north-carolina-charlotte-protests0231AMStoryLink&amp;linkId=29106235
0411.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/north-korea-un-asean/index.html?sr=fbpol092316north-korea-un-asean0303AMStoryLink&amp;linkId=29107068
0412.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/jeff-sessions-criticizes-bush-family-clinton-support/index.html?sr=fbpol092316jeff-sessions-criticizes-bush-family-clinton-support0355AMStoryLink&amp;linkId=29106843
0413.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/road-to-270-electoral-college-map-4-september/index.html?sr=fbpol092316oad-to-270-electoral-college-map-4-september0531AMStoryLink&amp;linkId=29106844
0414.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/bill-de-blasio-trump-stop-and-frisk/index.html?sr=fbpol092316bill-de-blasio-trump-stop-and-frisk0829AMVODtopLink&amp;linkId=29106863
0415.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/electoral-college-split-votes-maine-nebraska-proportional/index.html
0416.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/hillary-clinton-donald-trump-women-ad/index.html?sr=fbpol092316hillary-clinton-donald-trump-women-ad1040AMVODtopLink&amp;linkId=29115311
0417.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/voter-registration-north-carolina-florida-democrats/index.html?sr=fbpol092316voter-registration-north-carolina-florida-democrats1132AMVODtopLink&amp;linkId=29115562
0418.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/september-11-bill-saudi-arabia-veto/index.html?sr=fbpol092316september-11-bill-saudi-arabia-veto1147AMVODtopLink&amp;linkId=29116675
0419.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/ohio-pennsylvania-election-2016-hack/index.html?sr=fbpol092316ohio-pennsylvania-election-2016-hack1217PMVODtopLink&amp;linkId=29117000
0420.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/syria-kerry-russia-action-call/index.html
0421.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/election-2016-personal-attacks/index.html?sr=fbpol092316election-2016-personal-attacks0132PMVODtopLink&amp;linkId=29117866
0422.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/whit-ayres-party-people-podcast/index.html?sr=fbpol092316whit-ayres-party-people-podcast0202PMVODtopLink&amp;linkId=29118150
0423.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/brooks-and-dunn-kix-brooks-only-in-america/index.html?sr=fbpol092316brooks-and-dunn-kix-brooks-only-in-america0232PMVODtopLink&amp;linkId=29122000
0424.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/2016-election-west-wing/index.html?sr=fbpol0923162016-election-west-wing0302PMVODtopLink&amp;linkId=29119390
0425.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/mcclatchy-marist-national-poll-before-debate/index.html?sr=fbpol092316mcclatchy-marist-national-poll-before-debate0306PMVODtopLink&amp;linkId=29125019
0426.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/stop-trump-bus-london/index.html?sr=fbpol092316stop-trump-bus-london0333PMVODtopLink&amp;linkId=29120072
0427.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/gregory-meeks-museum-opening-african-american-history/index.html?sr=fbpol092316gregory-meeks-museum-opening-african-american-history0405PMVODtopLink&amp;linkId=29126127
0428.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/obama-slavery-8-year-old/index.html?sr=fbpol092316obama-slavery-8-year-old0432PMVODtopLink&amp;linkId=29123728
0429.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/charlotte-mayor-jennifer-roberts-donald-trump-presumptuous/index.html?sr=fbpol092316charlotte-mayor-jennifer-roberts-donald-trump-presumptuous0501PMVODtopLink&amp;linkId=29127516
0430.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/donald-trump-judicial-nominations/index.html?sr=fbpol092316donald-trump-judicial-nominations0531PMVODtopLink&amp;linkId=29129729
0431.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/saint-donald-trump-bobby-knight/index.html?sr=fbpol092316saint-donald-trump-bobby-knight0545PMVODtopLink&amp;linkId=29129958
0432.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/mcclatchy-marist-national-poll-before-debate/index.html?sr=fbpol092316mcclatchy-marist-national-poll-before-debate0602PMVODtopLink&amp;linkId=29130435
0433.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/cheryl-mills-immunity-hillary-clinton-emails/index.html?sr=fbpol092316cheryl-mills-immunity-hillary-clinton-emails0615PMVODtopLink&amp;linkId=29131549
0434.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/tim-kaine-libertarian-ticket/index.html?sr=fbpol092316tim-kaine-libertarian-ticket0631PMVODtopLink&amp;linkId=29131969
0435.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/ted-cruz-endorses-donald-trump/index.html
0436.xml,cnn,mainstream,mixture of true and false,http://edition.cnn.com/2016/09/23/politics/us-troops-iraq/index.html?sr=fbpol092316us-troops-iraq0701PMStoryLink&amp;linkId=29132169
0437.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/clinton-calls-for-charlotte-to-release-shooting-video-without-delay/index.html
0438.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/us-military-sinks-isis-navy/index.html?sr=fbpol092316us-military-sinks-isis-navy0745PMStoryLink&amp;linkId=29132704
0439.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/critical-counties-wake-north-carolina-raleigh/index.html?sr=fbpol092316critical-counties-wake-north-carolina-raleigh0715PMVODtopLink&amp;linkId=29132549
0440.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/donald-trump-debate-prep/index.html
0441.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/clinton-emails-state/index.html?sr=fbpol092316clinton-emails-state0801PMVODtopLink&amp;linkId=29133722
0442.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/clinton-to-visit-charlotte-on-sunday/index.html
0443.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/eric-trump-donald-trump-american-dream/index.html
0444.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/smithsonian-african-american-museum-obama/index.html
0445.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/cincinnati-enquirer-hillary-clinton-endorsement/index.html
0446.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/ohio-voters-federal-appeals-court/index.html
0447.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/obama-slavery-8-year-old/index.html?sr=fbpol092416obama-slavery-8-year-old1202AMVODtopLink&amp;linkId=29149648
0448.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/worst-things-donald-trump-ted-cruz-said-about-each-other/index.html
0449.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/donald-trump-rising-crime-rates-fact-check/index.html
0450.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/fbi-investigation-hillary-clinton-emails/index.html
0451.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/road-to-270-electoral-college-map-4-september/index.html?sr=fbpol092416oad-to-270-electoral-college-map-4-september0301AMStoryLink&amp;linkId=29149697
0452.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/25/politics/presidential-debate-trump-style/index.html
0453.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/24/politics/white-working-class-evangelicals/index.html
0454.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/23/politics/ohio-pennsylvania-election-2016-hack/index.html?sr=fbpol092616ohio-pennsylvania-election-2016-hack0703AMVODtopLink&amp;linkId=29187795
0455.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/25/politics/clinton-trump-virtually-tied-poll-debate/index.html?sr=fbpol092616clinton-trump-virtually-tied-poll-debate0834AMStoryLink&amp;linkId=29187801
0456.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/25/politics/presidential-debate-what-to-watch/index.html
0457.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/26/politics/presidential-debate-hillary-clinton-donald-trump/index.html?sr=fbpol092616presidential-debate-hillary-clinton-donald-trump1032AMVODtopLink&amp;linkId=29195937
0458.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/26/politics/donald-trump-hillary-clinton-colorado-pennsylvania-polls/index.html?sr=fbpol092616donald-trump-hillary-clinton-colorado-pennsylvania-polls1102AMVODtopLink&amp;linkId=29196004
0459.xml,cnn,mainstream,mostly true,http://edition.cnn.com/2016/09/22/politics/what-time-where-watch-debate/index.html?sr=fbpol092616what-time-where-watch-debate1217PMVODtopLink&amp;linkId=29198758
